fid,area_name,Area_km2,Count_N_st,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
1,Pianura,1360.700000000000045,12.000000000000000,"0","0","0","0",0.00000000000000,356.44849934718241
1,Pianura,1360.700000000000045,12.000000000000000,"1","0","0","1",8595.23135540283511,39.66551398106602
1,Pianura,1360.700000000000045,12.000000000000000,"2","0","0","2",12764.32100111164982,78.76861034667508
1,Pianura,1360.700000000000045,12.000000000000000,"3","0","0","3",60952.34773312526522,116.19353182343704
1,Pianura,1360.700000000000045,12.000000000000000,"4","0","0","4",67310.63623009889852,159.33474127223127
1,Pianura,1360.700000000000045,12.000000000000000,"5","0","0","5",73264.56978581607109,201.30697497206805
1,Pianura,1360.700000000000045,12.000000000000000,"6","0","0","6",98688.74889197481389,249.27067334086092
1,Pianura,1360.700000000000045,12.000000000000000,"7","0","0","7",115275.33164339972427,282.74989532086323
1,Pianura,1360.700000000000045,12.000000000000000,"8","0","0","8",124899.02276617316238,299.99792295842963
1,Pianura,1360.700000000000045,12.000000000000000,"9","0","0","9",131910.86765313395881,309.83925063585218
1,Pianura,1360.700000000000045,12.000000000000000,"10","0","0","10",141839.04303277679719,324.62117441043983
1,Pianura,1360.700000000000045,12.000000000000000,"11","0","0","11",147673.35821047204081,356.44849934718241
2,Marina,910.899999999999977,7.000000000000000,"0","0","0","0",0.00000000000000,273.94004675748511
2,Marina,910.899999999999977,7.000000000000000,"1","0","0","1",32230.25917284366005,7.14337183594410
2,Marina,910.899999999999977,7.000000000000000,"2","0","0","2",54605.31354834832746,108.71345734182174
2,Marina,910.899999999999977,7.000000000000000,"3","0","0","3",57505.06262595702719,121.72168145433864
2,Marina,910.899999999999977,7.000000000000000,"4","0","0","4",79307.83640970733541,108.36165950905566
2,Marina,910.899999999999977,7.000000000000000,"5","0","0","5",80276.86454122659052,153.86513497436727
2,Marina,910.899999999999977,7.000000000000000,"6","0","0","6",97054.80099718231941,204.53669866936480
2,Marina,910.899999999999977,7.000000000000000,"7","0","0","7",123518.83101873802661,273.94004675748511
3,Prealpina,955.700000000000045,9.000000000000000,"0","0","0","0",0.00000000000000,340.46482823205156
3,Prealpina,955.700000000000045,9.000000000000000,"1","0","0","1",26732.48301852116856,70.14596013064082
3,Prealpina,955.700000000000045,9.000000000000000,"2","0","0","2",66224.92132765395218,164.70946544528647
3,Prealpina,955.700000000000045,9.000000000000000,"3","0","0","3",95126.71824615888181,255.02833354669727
3,Prealpina,955.700000000000045,9.000000000000000,"4","0","0","4",129709.90930347389076,340.46482823205156
